ens_gene	ext_gene	target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENSMUSG00000054446	Cpa1	ENSMUST00000031806.9	4.15852077489015e-06	0.00151722199300345	21.1903545571917	3.03772915054073	1	13.1093848085096	0.607545830108147	2.05325669075648e-06	0.607543776851455	3.69021967192925	3.69021967192925
ENSMUSG00000031957	Ctrb1	ENSMUST00000034435.6	3.86775453158951e-06	0.00151722199300345	21.3292954156553	2.09940177755496	1	14.2678030137655	0.419880355510995	4.72967586624497e-07	0.419879882543405	9.61392469492867	9.61392469492867
ENSMUSG00000027309	4930402H24Rik	ENSMUST00000044766.14	3.94692881521152e-06	0.00151722199300345	21.2904502405709	3.96370289140384	1	5.65488592565393	0.792740578280766	0.00711100130984748	0.78562957697092	0.0803102607581132	0.78562957697092
ENSMUSG00000057841	Rpl32	ENSMUST00000081840.5	4.15118170886691e-06	0.00151722199300345	21.1937399706956	1.59142103627353	1	8.50565840920802	0.318284207254706	0.000189920561524631	0.318094286693181	0.0817950643112824	0.318094286693181
ENSMUSG00000064358	mt-Co3	ENSMUST00000082409.1	4.03948938033084e-06	0.00151722199300345	21.2460167901943	0.0730699536559355	1	9.69291604014173	0.0146139907311873	0.000130174024375949	0.0144838167068111	0.184444432646696	0.184444432646696
ENSMUSG00000068240	Gm11808	ENSMUST00000089430.5	4.01075202587296e-06	0.00151722199300345	21.2597017720185	1.15483193339029	1	8.01044538169399	0.230966386678057	0.000486538750660246	0.230479847927397	0.0651091390013797	0.230479847927397
ENSMUSG00000031600	Vps37a	ENSMUST00000098817.2	3.84553021617149e-06	0.00151722199300345	21.3403427959982	2.49021167606942	1	6.1088552379311	0.498042335213884	0.00365509924629035	0.494387235967594	0.0652054262438153	0.494387235967594
ENSMUSG00000089715	Cbx6	ENSMUST00000109627.7	4.17692076741666e-06	0.00151722199300345	21.1818931748139	1.90401753399672	1	6.4196636566795	0.380803506799343	0.00491659703693907	0.375886909762405	0.0590007821495186	0.375886909762405
ENSMUSG00000032115	Hyou1	ENSMUST00000160902.7	4.23144514495262e-06	0.00151722199300345	21.1570376165908	1.60736927712513	1	7.09217122951853	0.321473855425026	0.004112301273353	0.317361554151674	0.0542186711371923	0.317361554151674
ENSMUSG00000020460	Rps27a	ENSMUST00000102844.3	4.48864337268872e-06	0.00159381702979946	21.0439653079173	0.969433391630338	1	7.32196945636856	0.193886678326068	0.00199737120771135	0.191889307118356	0.0549837354644699	0.191889307118356
ENSMUSG00000039568	Ubald1	ENSMUST00000037843.6	4.6754713672363e-06	0.00161316994635786	20.9658352919574	1.53751879802871	1	7.18340294349161	0.307503759605742	0.000711631278375737	0.306792128327366	0.0543784100672977	0.306792128327366
ENSMUSG00000062825	Actg1	ENSMUST00000128055.1	4.65159397408256e-06	0.00161316994635786	20.9756442193273	3.98562123728863	1	5.73779645017102	0.797124247457726	0.012211887320689	0.784912360137037	0.0769162859982696	0.784912360137037
ENSMUSG00000045128	Rpl18a	ENSMUST00000212494.1	4.6060711383128e-06	0.00161316994635786	20.9944859859692	1.24204260243762	1	7.52268448224018	0.248408520487525	0.00114009768215871	0.247268422805366	0.0566582066091937	0.247268422805366
ENSMUSG00000026095	Asnsd1	ENSMUST00000027264.9	4.7962716423112e-06	0.00161601995567294	20.9169682068255	1.78606216761968	1	5.95674541093231	0.357212433523937	0.00335865613821803	0.353853777385719	0.0693732561129853	0.353853777385719
ENSMUSG00000051853	Arf3	ENSMUST00000053183.11	4.74675757331095e-06	0.00161601995567294	20.9368469697185	0.839237186564132	1	7.38101365000671	0.167847437312826	0.000719695587469691	0.167127741725357	0.0553766655301241	0.167127741725357
ENSMUSG00000057036	Gm7536	ENSMUST00000077389.7	4.81629002729748e-06	0.00161601995567294	20.9089896878458	0.64286091391751	1	7.4277605719595	0.128572182783503	0.000663464954965119	0.127908717828537	0.0557460928837251	0.127908717828537
ENSMUSG00000046062	Ppp1r15b	ENSMUST00000052529.3	4.95868153937717e-06	0.00164867145399674	20.8531805830199	1.49904596737907	1	7.56798514208559	0.299809193475815	0.00117049908273526	0.298638694393079	0.0571717389238057	0.298638694393079
ENSMUSG00000046721	Rpl14-ps1	ENSMUST00000026901.11	5.03474214234997e-06	0.00165887949884834	20.8240247917115	0.946462745578046	1	7.24609324713076	0.189292549115609	0.00165396522692245	0.187638583888687	0.0545977230141057	0.187638583888687
ENSMUSG00000008668	Rps18	ENSMUST00000008812.8	5.17940651373245e-06	0.00167990106925876	20.7697716143326	1.035111150517	1	8.22303098523263	0.207022230103401	0.000257685292925919	0.206764544810474	0.071097086608644	0.206764544810474
ENSMUSG00000022708	Zbtb20	ENSMUST00000114694.8	5.19040879408964e-06	0.00167990106925876	20.7657078869707	1.19721283886257	1	6.68817133386195	0.239442567772514	0.001672368920802	0.237770198851712	0.0557894894698323	0.237770198851712
ENSMUSG00000004821	Tmed11	ENSMUST00000004943.1	5.38738930676231e-06	0.0017036631297636	20.6943799354437	4.25175789005436	1	6.38864817114496	0.850351578010873	0.0019214984040769	0.848430079606795	0.0594933791624875	0.848430079606795
ENSMUSG00000009378	Slc16a12	ENSMUST00000009522.3	5.69556107018587e-06	0.0017036631297636	20.5878781045324	2.5170520987652	1	5.83614015474734	0.503410419753039	0.00442875487445774	0.498981664878582	0.0732861637139882	0.498981664878582
ENSMUSG00000022956	Atp5o	ENSMUST00000023677.9	5.82847188751575e-06	0.0017036631297636	20.5437190537808	1.05870948780634	1	6.4249727402302	0.211741897561267	0.00176274351417101	0.209979154047096	0.0589190999553576	0.209979154047096
